제품범주2,플랜트,제조일자,중분류(보정),count
B2B 스팸,진천)육가공,2021-06-19,포장불량,1
스팸일반,진천)육가공,2021-06-19,포장불량,1
까스류,진천BC,2021-06-19,동물성이물,1
냉면,남원공장,2021-06-20,식물성이물,1
백미,부산공장,2021-06-20,인체이물류,1
백미,부산공장,2021-06-20,식물성이물,1
건강밀가루,양산공장,2021-06-20,기타이물류,1
비비고 왕교자,인천냉동식품,2021-06-20,포장불량,1
비비고 왕교자,인천냉동식품,2021-06-20,합성수지류,1
비비고 수제만두,인천냉동식품,2021-06-20,기타이물류,1
일반 국물,진천B2B생산,2021-06-20,관능,1
B2B 스팸,진천)육가공,2021-06-20,포장불량,1
B2B 스팸,진천)육가공,2021-06-20,포장불량,1
비비고일반,진천BC,2021-06-20,인체이물류,1
비비고일반,진천BC,2021-06-20,식물성이물,1
된장가정용,공주공장,2021-06-21,식물성이물,1
일반 국물,교동,2021-06-21,관능,1
일반 국물,교동,2021-06-21,합성수지류,1
하선정절임류,꿈터식품,2021-06-21,공정이물류,1
일반 국물,논산1공장,2021-06-21,식물성이물,1
일반 국물,논산1공장,2021-06-21,기타이물류,1
가정용다담,논산1공장,2021-06-21,기타이물류,1
냉장스프,동방푸드마스타(냉장수프),2021-06-21,합성수지류,1
일반국밥,부산공장,2021-06-21,인체이물류,1
국판삼해김,삼해상사(김포),2021-06-21,기타이물류,1
국판삼해김,삼해상사(김포),2021-06-21,형태,1
국판조미김,씨푸드_이천,2021-06-21,형태,1
김스낵,씨푸드_이천,2021-06-21,합성수지류,1
베이커리,우양냉동(청양_냉동),2021-06-21,공정이물류,1
베이커리,우양냉동(청양_냉동),2021-06-21,공정이물류,1
비비고 왕교자,인천냉동식품,2021-06-21,성분,1
비비고 왕교자,인천냉동식품,2021-06-21,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-21,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-21,관능,1
B2B 스팸,진천)육가공,2021-06-21,포장불량,1
스팸일반,진천)육가공,2021-06-21,포장불량,1
스팸일반,진천)육가공,2021-06-21,포장불량,1
비엔나,진천BC,2021-06-21,형태,1
중식프라잉,진천BC,2021-06-21,인체이물류,1
B2B패티류,진천BC,2021-06-21,기타이물류,1
B2B맨밥,진천BC,2021-06-21,기타이물류,1
비비고별미김치,경기농협 북파주,2021-06-22,관능,1
쌈장업소용,공주공장,2021-06-22,관능,1
고추장가정용,논산1공장,2021-06-22,인체이물류,1
과일젤리,뚜또,2021-06-22,인체이물류,1
비비고무침,반찬단지,2021-06-22,합성수지류,1
비비고 죽 프리미엄(파우치),부산공장,2021-06-22,공정이물류,1
백미,부산공장,2021-06-22,기타이물류,1
잡곡,부산공장,2021-06-22,인체이물류,1
국판조미김,씨푸드_이천,2021-06-22,기타,1
1급강력밀가루,양산공장,2021-06-22,식물성이물,1
핫도그,우양냉동(장항),2021-06-22,기타,1
자일로스설탕,인천1)당,2021-06-22,벌레류,1
비비고 왕교자,인천냉동식품,2021-06-22,동물성이물,1
비비고 왕교자,인천냉동식품,2021-06-22,관능,1
비비고 왕교자,인천냉동식품,2021-06-22,관능,1
슬라이스,진천)육가공,2021-06-22,동물성이물,1
스팸일반,진천)육가공,2021-06-22,포장불량,1
스팸일반,진천)육가공,2021-06-22,인체이물류,1
스팸일반,진천)육가공,2021-06-22,포장불량,1
스팸일반,진천)육가공,2021-06-22,포장불량,1
스팸일반,진천)육가공,2021-06-22,포장불량,1
중식프라잉,진천BC,2021-06-22,기타,1
사각햄,진천BC,2021-06-22,동물성이물,1
비비고 죽(용기),진천BC,2021-06-22,식물성이물,1
