product_cat2,mu,sigma,p90,p95,n,use_global
까스류,66.51681957186544,50.85067355999989,132.40000000000003,162.39999999999998,327,False
꼬지형,18.196319018404907,11.964599570904673,28.0,32.75,326,False
남원B2C냉동면,66.92937853107344,69.05699018900302,138.39999999999998,234.1499999999997,354,False
남원B2C냉동면(X),110.73889751552795,174.16509191903262,255.0,397.0,2,True
냉동 생선구이,110.73889751552795,174.16509191903262,255.0,397.0,13,True
냉면,72.74528301886792,502.29486681875136,72.9,102.0,212,False
냉장 생선구이,17.20253164556962,8.152625960171784,30.0,32.0,79,False
냉장베이커리,110.73889751552795,174.16509191903262,255.0,397.0,2,True
냉장스낵,20.954545454545453,44.226836710298976,29.0,34.75,66,False
냉장스프,43.32258064516129,48.04862261580195,53.0,62.5,31,False
눈건강,110.73889751552795,174.16509191903262,255.0,397.0,1,True
다시다 대물,110.73889751552795,174.16509191903262,255.0,397.0,28,True
다시다 소물,110.73889751552795,174.16509191903262,255.0,397.0,20,True
다이어트,110.73889751552795,174.16509191903262,255.0,397.0,5,True
다진마늘,110.73889751552795,174.16509191903262,255.0,397.0,2,True
단독,110.73889751552795,174.16509191903262,255.0,397.0,1,True
담금청,110.73889751552795,174.16509191903262,255.0,397.0,12,True
당면,195.34782608695653,135.4455477611486,391.8000000000001,470.4,115,False
대두유가정용,248.4,158.09608892484766,501.8,540.8999999999999,30,False
대두유업소용,110.73889751552795,174.16509191903262,255.0,397.0,17,True
더건강한 닭가슴살,23.98343373493976,16.510986565499074,41.700000000000045,51.0,664,False
더건강한 닭가슴살 냉동,110.73889751552795,174.16509191903262,255.0,397.0,14,True
더건강한냉동닭가슴살,110.73889751552795,174.16509191903262,255.0,397.0,1,True
더건강한햄,110.73889751552795,174.16509191903262,255.0,397.0,11,True
더비비고 국물요리,110.73889751552795,174.16509191903262,255.0,397.0,12,True
더비비고 덮밥소스,110.73889751552795,174.16509191903262,255.0,397.0,2,True
동그란스팸,110.73889751552795,174.16509191903262,255.0,397.0,6,True
된장가정용,222.28333333333333,133.39299810876298,402.2,447.04999999999995,180,False
된장업소용,137.85714285714286,128.71544315319142,264.4,321.0,70,False
드레싱,54.549019607843135,69.74453300911654,54.200000000000045,68.00000000000006,153,False
들기름,110.73889751552795,174.16509191903262,255.0,397.0,4,True
딤섬,110.73889751552795,174.16509191903262,255.0,397.0,12,True
땡류,47.8,19.0934543757802,70.0,76.04999999999997,30,False
떡볶이,110.73889751552795,174.16509191903262,255.0,397.0,6,True
런천미트,110.73889751552795,174.16509191903262,255.0,397.0,3,True
레디밀,73.47191011235955,49.272708193846675,134.40000000000003,177.99999999999994,89,False
맛간식,86.58441558441558,40.42079015316883,143.40000000000003,170.35,154,False
맛소금,110.73889751552795,174.16509191903262,255.0,397.0,4,True
맛술,110.73889751552795,174.16509191903262,255.0,397.0,4,True
매입)쿠킹믹스,110.73889751552795,174.16509191903262,255.0,397.0,1,True
메밀면,110.73889751552795,174.16509191903262,255.0,397.0,14,True
물만두,86.09154929577464,76.08426619471608,152.8,192.74999999999972,142,False
미니소시지,46.60454545454545,25.359469762035054,78.1,93.04999999999998,220,False
